customer_id,customer_name,email,region,loyalty_points,insert_date,join_date,err_customer_id,err_email,err_customer_name
C010,Alice Brown 9,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,East,150,2026-01-31 17:22:31.972000000,2023-01-30,,email length > 50,
C017,Name with special chars !@#$%^&*(),longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,,510,2026-01-31 17:22:31.972000000,invalid_date,,email length > 50,
C022,,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,North,,2026-01-31 17:22:31.972000000,2022-08-15,,email length > 50,
C027,John Smith 26,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,South,632,2026-01-31 17:22:31.972000000,2022-11-18,,email length > 50,
,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,invalid_email,,,2026-01-31 17:22:31.972000000,2022-02-13,,,customer_name length > 50
C036,Alice Brown 35,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,North,1152,2026-01-31 17:22:31.972000000,01/31/2023 00:00:00,,email length > 50,
C037,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,user36@example.com,Unknown,123,2026-01-31 17:22:31.972000000,2022-07-23,,,customer_name length > 50
C046,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,invalid_email,,1052,2026-01-31 17:22:31.972000000,2024-01-09,,,customer_name length > 50
C048,Michael Lee 47,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,South,83,2026-01-31 17:22:31.972000000,2022-08-19,,email length > 50,
C053,Sarah Jones 52,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemail@example.com,,1661,2026-01-31 17:22:31.972000000,2022-03-08,,email length > 50,
